,date,open,high,low,Close
13210,1621224000000.0,0.63198,0.63589,0.62209,0.62332
13211,1621224300000.0,0.62316,0.6378,0.61899,0.63502
13212,1621224600000.0,0.63501,0.645,0.63136,0.64316
13213,1621224900000.0,0.64237,0.65131,0.64236,0.64941
13214,1621225200000.0,0.65,0.65613,0.63821,0.65548
13215,1621225500000.0,0.65602,0.65899,0.65108,0.65541
13216,1621225800000.0,0.65548,0.65828,0.64926,0.65104
13217,1621226100000.0,0.65093,0.65918,0.65051,0.65272
13218,1621226400000.0,0.65298,0.65394,0.6469,0.64733
13219,1621226700000.0,0.64691,0.65494,0.63998,0.65239
13220,1621227000000.0,0.65172,0.65551,0.64793,0.65399
13221,1621227300000.0,0.65422,0.65985,0.65415,0.65951
13222,1621227600000.0,0.65934,0.66284,0.65587,0.65945
13223,1621227900000.0,0.6591,0.65958,0.65335,0.65395
13224,1621228200000.0,0.65414,0.65558,0.65127,0.65279
13225,1621228500000.0,0.65278,0.65391,0.64482,0.64536
13226,1621228800000.0,0.64601,0.65427,0.6456,0.65012
13227,1621229100000.0,0.65025,0.65057,0.64389,0.64534
13228,1621229400000.0,0.64541,0.65357,0.64029,0.65091
13229,1621229700000.0,0.65083,0.65354,0.64568,0.64571
13230,1621230000000.0,0.64571,0.64712,0.6386,0.63868
13231,1621230300000.0,0.63895,0.64263,0.63731,0.63908
13232,1621230600000.0,0.63916,0.64296,0.63643,0.64296
13233,1621230900000.0,0.64233,0.66619,0.64148,0.66571
13234,1621231200000.0,0.66618,0.67186,0.66056,0.66963
13235,1621231500000.0,0.66963,0.67317,0.66587,0.67161
13236,1621231800000.0,0.6716,0.67628,0.66809,0.67498
13237,1621232100000.0,0.67472,0.678,0.67074,0.67133
13238,1621232400000.0,0.67158,0.6754,0.67103,0.67238
13239,1621232700000.0,0.67239,0.67971,0.67227,0.67704
13240,1621233000000.0,0.67704,0.67733,0.67019,0.67019
13241,1621233300000.0,0.67022,0.67169,0.6647,0.67069
13242,1621233600000.0,0.67084,0.672,0.6675,0.66852
13243,1621233900000.0,0.66846,0.67175,0.665,0.6675
