date,open,high,low,close
1620413100000.0,1.6705,1.681,1.67,1.6796
1620413400000.0,1.6795,1.6799,1.6728,1.675
1620413700000.0,1.6749,1.6816,1.6684,1.6764
1620414000000.0,1.6761,1.6809,1.6655,1.6674
1620414300000.0,1.6674,1.674,1.6627,1.6646
1620414600000.0,1.6646,1.6664,1.6575,1.6605
1620414900000.0,1.6605,1.6609,1.6455,1.6535
1620415200000.0,1.6536,1.655,1.641,1.6441
1620415500000.0,1.6437,1.6484,1.6415,1.6461
1620415800000.0,1.6462,1.651,1.6381,1.6454
1620416100000.0,1.6453,1.6489,1.6425,1.6467
1620416400000.0,1.6466,1.6487,1.6437,1.6476
1620416700000.0,1.6477,1.6493,1.6445,1.6474
1620417000000.0,1.6475,1.6507,1.6471,1.6491
1620417300000.0,1.649,1.6536,1.6455,1.6481
1620417600000.0,1.6483,1.6537,1.6482,1.6492
1620417900000.0,1.649,1.6535,1.6486,1.6517
1620418200000.0,1.6517,1.6539,1.6508,1.6522
1620418500000.0,1.6522,1.6537,1.6439,1.6455
1620418800000.0,1.6455,1.653,1.6435,1.6524
1620419100000.0,1.6527,1.6537,1.6462,1.6528
1620419400000.0,1.653,1.6535,1.6489,1.6514
1620419700000.0,1.6513,1.6536,1.6501,1.6518
1620420000000.0,1.6519,1.6522,1.645,1.6463
1620420300000.0,1.6463,1.6523,1.6322,1.6342
1620420600000.0,1.634,1.644,1.6281,1.6437
1620420900000.0,1.6438,1.6514,1.6438,1.6496
1620421200000.0,1.6499,1.6507,1.6365,1.6421
1620421500000.0,1.6422,1.6424,1.6211,1.6229
1620421800000.0,1.6229,1.6315,1.6126,1.6129
1620422100000.0,1.6131,1.6151,1.6022,1.6023
1620422400000.0,1.6035,1.6291,1.6012,1.6282
1620422700000.0,1.6287,1.6369,1.6244,1.6246
1620423000000.0,1.6246,1.64,1.6227,1.6394
1620423300000.0,1.6394,1.6408,1.6287,1.6343
1620423600000.0,1.6344,1.636,1.6254,1.6341
1620423900000.0,1.6338,1.6351,1.62,1.6209
1620424200000.0,1.6208,1.6217,1.6082,1.612
1620424500000.0,1.612,1.619,1.6084,1.6163
1620424800000.0,1.6163,1.6238,1.6062,1.6211
1620425100000.0,1.621,1.6315,1.62,1.627
1620425400000.0,1.6272,1.6292,1.6104,1.6109
1620425700000.0,1.6109,1.6214,1.606,1.608
1620426000000.0,1.6081,1.6084,1.5869,1.5929
1620426300000.0,1.593,1.5978,1.5788,1.59
1620426600000.0,1.5902,1.6085,1.5891,1.598
1620426900000.0,1.598,1.6,1.5813,1.5829
1620427200000.0,1.5836,1.5903,1.5814,1.5854
1620427500000.0,1.5855,1.5976,1.5783,1.587
1620427800000.0,1.5882,1.6046,1.588,1.6042
1620428100000.0,1.6038,1.6057,1.5983,1.6041
1620428400000.0,1.6041,1.607,1.5986,1.6049
1620428700000.0,1.6048,1.63,1.6048,1.629
1620429000000.0,1.6292,1.635,1.6243,1.635
1620429300000.0,1.6342,1.6368,1.6176,1.6328
1620429600000.0,1.6322,1.6358,1.6252,1.6295
1620429900000.0,1.6295,1.634,1.6254,1.6334
1620430200000.0,1.6339,1.6441,1.632,1.6378
1620430500000.0,1.6374,1.6473,1.637,1.6451
1620430800000.0,1.6451,1.653,1.6436,1.6489
1620431100000.0,1.6484,1.6517,1.6426,1.6456
1620431400000.0,1.6451,1.6509,1.6419,1.6484
1620431700000.0,1.6481,1.6548,1.6473,1.653
1620432000000.0,1.6529,1.6543,1.6461,1.6477
1620432300000.0,1.6478,1.6505,1.6358,1.6427
1620432600000.0,1.6427,1.6432,1.62,1.632
1620432900000.0,1.6321,1.6494,1.6319,1.6416
1620433200000.0,1.6421,1.6489,1.6394,1.6394
1620433500000.0,1.6394,1.6478,1.6381,1.6394
1620433800000.0,1.6394,1.6487,1.6388,1.6419
1620434100000.0,1.6419,1.6475,1.6363,1.6366
1620434400000.0,1.6365,1.6417,1.6349,1.6376
1620434700000.0,1.6376,1.6381,1.6311,1.6362
1620435000000.0,1.6364,1.6408,1.634,1.6373
1620435300000.0,1.6373,1.6481,1.6371,1.6442
1620435600000.0,1.6436,1.6491,1.6414,1.647
1620435900000.0,1.647,1.6484,1.6396,1.6438
1620436200000.0,1.6438,1.647,1.6387,1.6466
1620436500000.0,1.6466,1.6491,1.6454,1.6484
1620436800000.0,1.6485,1.6493,1.6437,1.6482
1620437100000.0,1.6482,1.6498,1.6471,1.649
1620437400000.0,1.6484,1.6497,1.6458,1.6465
1620437700000.0,1.6466,1.648,1.6412,1.6451
1620438000000.0,1.6452,1.6457,1.6421,1.6448
1620438300000.0,1.6446,1.6497,1.6429,1.648
1620438600000.0,1.648,1.6493,1.6457,1.6482
1620438900000.0,1.6482,1.6498,1.6453,1.6474
1620439200000.0,1.6475,1.6498,1.6376,1.638
1620439500000.0,1.638,1.6381,1.6259,1.6271
1620439800000.0,1.6271,1.6332,1.6271,1.6301
1620440100000.0,1.6301,1.6313,1.6251,1.6276
1620440400000.0,1.6276,1.6283,1.6194,1.6231
1620440700000.0,1.6231,1.6268,1.6223,1.6244
1620441000000.0,1.6245,1.632,1.6244,1.6312
1620441300000.0,1.6313,1.636,1.6278,1.6293
1620441600000.0,1.6293,1.6308,1.6268,1.6272
1620441900000.0,1.6275,1.6279,1.6142,1.617
1620442200000.0,1.6169,1.6218,1.6094,1.6202
1620442500000.0,1.6202,1.622,1.617,1.6205
1620442800000.0,1.6205,1.621,1.6088,1.6096
1620443100000.0,1.6095,1.6161,1.6095,1.6115
1620443400000.0,1.6115,1.6188,1.611,1.6182
1620443700000.0,1.6182,1.627,1.6177,1.6238
1620444000000.0,1.6238,1.6332,1.623,1.6288
1620444300000.0,1.6288,1.6334,1.6268,1.6316
1620444600000.0,1.6316,1.6331,1.6252,1.6321
1620444900000.0,1.6321,1.6336,1.6229,1.6272
1620445200000.0,1.6273,1.6319,1.6216,1.6286
1620445500000.0,1.6287,1.6329,1.6262,1.6305
1620445800000.0,1.6305,1.6346,1.6276,1.632
1620446100000.0,1.632,1.6342,1.6258,1.6282
1620446400000.0,1.6281,1.6281,1.6188,1.622
1620446700000.0,1.622,1.6231,1.6176,1.6194
1620447000000.0,1.6194,1.6198,1.6113,1.6144
1620447300000.0,1.6144,1.6209,1.6094,1.6158
1620447600000.0,1.616,1.6259,1.6157,1.6192
1620447900000.0,1.6192,1.6316,1.6189,1.6314
